"doc_id","X1","X2","X3","X4","X5","X6","X7"
181,0.00272479564032698,0.874659400544959,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.0844686648501362,0.0299727520435967
182,0.924528301886792,0.0649895178197065,0.00209643605870021,0.00209643605870021,0.00209643605870021,0.00209643605870021,0.00209643605870021
183,0.743190661478599,0.00389105058365759,0.00389105058365759,0.0428015564202335,0.198443579766537,0.00389105058365759,0.00389105058365759
184,0.210682492581602,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.596439169139466,0.181008902077151
185,0.0072992700729927,0.226277372262774,0.591240875912409,0.153284671532847,0.0072992700729927,0.0072992700729927,0.0072992700729927
186,0.283372365339578,0.00234192037470726,0.00234192037470726,0.704918032786885,0.00234192037470726,0.00234192037470726,0.00234192037470726
187,0.0022883295194508,0.391304347826087,0.0480549199084668,0.0251716247139588,0.0022883295194508,0.185354691075515,0.345537757437071
188,0.35191637630662,0.00348432055749129,0.0731707317073171,0.526132404181185,0.00348432055749129,0.00348432055749129,0.0383275261324042
189,0.59493670886076,0.0464135021097046,0.00421940928270042,0.341772151898734,0.00421940928270042,0.00421940928270042,0.00421940928270042
190,0.0050761421319797,0.0050761421319797,0.0050761421319797,0.0050761421319797,0.868020304568528,0.106598984771574,0.0050761421319797
191,0.986577181208054,0.00223713646532438,0.00223713646532438,0.00223713646532438,0.00223713646532438,0.00223713646532438,0.00223713646532438
192,0.342995169082126,0.101449275362319,0.00483091787439614,0.391304347826087,0.00483091787439614,0.00483091787439614,0.14975845410628
193,0.777777777777778,0.094017094017094,0.00854700854700855,0.00854700854700855,0.00854700854700855,0.094017094017094,0.00854700854700855
194,0.116704805491991,0.322654462242563,0.0251716247139588,0.0022883295194508,0.0022883295194508,0.528604118993135,0.0022883295194508
195,0.282229965156794,0.700348432055749,0.00348432055749129,0.00348432055749129,0.00348432055749129,0.00348432055749129,0.00348432055749129
196,0.00440528634361234,0.00440528634361234,0.00440528634361234,0.488986784140969,0.092511013215859,0.00440528634361234,0.400881057268722
197,0.00374531835205993,0.00374531835205993,0.97752808988764,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993
198,0.360406091370558,0.309644670050761,0.309644670050761,0.0050761421319797,0.0050761421319797,0.0050761421319797,0.0050761421319797
